Participant,Pair,Variation 1 Name,Image Rank 1 Result,Variation 2 Name,Image Rank 2 Result
Participant 152,0,Green|Image|Sans-Serif,1,Red|Image|Handwritten,0
Participant 152,1,Green|Illustration|Handwritten,1,Blue|None|Handwritten,0
Participant 152,2,Red|Image|Sans-Serif,0,Green|Image|Sans-Serif,1
Participant 152,3,Green|Illustration|Sans-Serif,1,Blue|Illustration|Serif,0
Participant 152,4,Red|Illustration|Serif,0,Green|Image|Serif,1
Participant 152,5,Blue|None|Handwritten,1,Red|Image|Sans-Serif,0
Participant 152,6,Green|Illustration|Sans-Serif,1,Blue|Illustration|Sans-Serif,0
Participant 152,7,Red|None|Handwritten,0,Green|Image|Sans-Serif,1
Participant 152,8,Red|Image|Sans-Serif,0,Blue|Illustration|Handwritten,1
Participant 152,9,Blue|None|Handwritten,0,Blue|Image|Serif,1
Participant 152,10,Red|Illustration|Sans-Serif,0,Green|Illustration|Sans-Serif,1
Participant 152,11,Green|None|Handwritten,1,Red|None|Sans-Serif,0
Participant 152,12,Red|Image|Sans-Serif,0,Green|None|Serif,1
Participant 152,13,Green|None|Handwritten,1,Blue|None|Sans-Serif,0
Participant 152,14,Green|None|Sans-Serif,1,Red|None|Sans-Serif,0
Participant 152,15,Blue|Image|Serif,1,Blue|Illustration|Serif,0
Participant 152,16,Green|None|Handwritten,1,Red|Image|Sans-Serif,0
Participant 152,17,Green|None|Serif,1,Blue|Image|Sans-Serif,0
Participant 152,18,Red|Image|Handwritten,0,Blue|Illustration|Serif,1
Participant 152,19,Blue|Illustration|Handwritten,0,Blue|Image|Sans-Serif,1
Participant 152,20,Blue|None|Serif,0,Green|Image|Handwritten,1
Participant 152,21,Green|Image|Sans-Serif,1,Red|Image|Serif,0
Participant 152,22,Blue|Image|Handwritten,1,Red|Image|Sans-Serif,0
Participant 152,23,Red|Image|Handwritten,1,Red|None|Handwritten,0
Participant 152,24,Red|Illustration|Handwritten,0,Green|None|Sans-Serif,1
Participant 152,25,Green|Illustration|Serif,1,Red|Illustration|Serif,0
Participant 152,26,Blue|Image|Handwritten,0,Blue|Image|Sans-Serif,1
